"","beta","HR (95% CI for HR)","wald.test","p.value"
"G81788","0.45","1.6 (0.8-3.1)","1.8","0.19"
"G406991","0.99","2.7 (1.2-6)","6","0.015"
"G81627","-0.45","0.64 (0.2-2)","0.59","0.44"
"G81491","-0.045","0.96 (0.71-1.3)","0.09","0.77"
"G29091","-0.039","0.96 (0.72-1.3)","0.07","0.8"
"G81626","0.2","1.2 (0.91-1.7)","1.8","0.18"
"G81624","0.34","1.4 (1-1.9)","4.5","0.034"
"G81622","1","2.8 (1.6-4.8)","13","4e-04"
"G81619","1.1","3.1 (1.2-8.3)","5.3","0.022"
"G81617","-0.19","0.82 (0.54-1.2)","0.83","0.36"
"G81618","1.1","2.9 (1.7-4.9)","15","0.00012"
"G81490","-0.43","0.65 (0.33-1.3)","1.5","0.22"
"G81609","1.7","5.4 (2.1-14)","12","0.00043"
"G64850","0.13","1.1 (0.95-1.4)","1.9","0.17"
"G51129","0.18","1.2 (1-1.4)","3.8","0.05"
"G81606","-0.57","0.57 (0.34-0.95)","4.6","0.031"
"G81603","0.69","2 (0.93-4.3)","3.1","0.077"
"G23780","0.91","2.5 (1.3-4.8)","7.4","0.0067"
"G83452","-1.3","0.28 (0.13-0.6)","10","0.0012"
"G81602","-0.39","0.68 (0.19-2.4)","0.37","0.54"
"G83439","-0.23","0.79 (0.49-1.3)","0.86","0.35"
"G81543","0.097","1.1 (0.66-1.8)","0.14","0.71"
"G56165","-0.19","0.82 (0.64-1.1)","2.4","0.12"
"G81035","-0.35","0.71 (0.52-0.97)","4.8","0.029"
"G81034","-0.24","0.78 (0.3-2)","0.26","0.61"
"G56259","0.74","2.1 (0.83-5.3)","2.4","0.12"
"G83449","0.065","1.1 (0.82-1.4)","0.24","0.63"
"G81031","0.58","1.8 (1.2-2.7)","7","0.0079"
"G83448","0.71","2 (0.88-4.8)","2.7","0.099"
"G83482","-0.24","0.78 (0.48-1.3)","0.92","0.34"
"G81579","-1.2","0.31 (0.13-0.76)","6.6","0.01"
"G81029","-0.055","0.95 (0.53-1.7)","0.03","0.85"
"G83478","-0.74","0.48 (0.29-0.77)","9","0.0027"
"G80975","-0.04","0.96 (0.58-1.6)","0.02","0.88"
"G56156","-0.15","0.86 (0.66-1.1)","1.2","0.27"
"G56155","-0.08","0.92 (0.74-1.2)","0.5","0.48"
"G83464","-0.57","0.57 (0.25-1.3)","1.8","0.18"
"G83447","-0.12","0.89 (0.7-1.1)","0.94","0.33"
"G50807","0.2","1.2 (0.63-2.4)","0.34","0.56"
"G26503","0.6","1.8 (0.87-3.8)","2.5","0.11"
"G53840","-0.49","0.61 (0.35-1.1)","3","0.084"
"G445372","-0.49","0.61 (0.35-1.1)","3","0.084"
"G29083","0.79","2.2 (0.74-6.6)","2","0.15"
"G55028","0.26","1.3 (0.64-2.6)","0.52","0.47"
"G27343","-0.1","0.9 (0.58-1.4)","0.21","0.65"
"G54676","0.08","1.1 (0.61-1.9)","0.08","0.78"
"G27231","-0.24","0.78 (0.58-1.1)","2.6","0.11"
"G11022","-0.18","0.83 (0.47-1.5)","0.38","0.54"
"G58513","-1","0.36 (0.19-0.7)","9.2","0.0024"
"G100505741","-0.49","0.61 (0.47-0.8)","13","3e-04"
"G9033","0.25","1.3 (0.81-2)","1.1","0.29"
"G63891","-0.18","0.83 (0.29-2.4)","0.12","0.73"
"G64718","-0.33","0.72 (0.38-1.4)","1","0.31"
"G64377","-0.086","0.92 (0.71-1.2)","0.42","0.52"
"G51289","0.14","1.2 (0.69-1.9)","0.29","0.59"
"G80763","0.0055","1 (0.72-1.4)","0","0.97"
"G51204","0.55","1.7 (0.94-3.2)","3.2","0.076"
"G57805","-0.46","0.63 (0.32-1.3)","1.7","0.19"
"G57000","-0.015","0.98 (0.76-1.3)","0.01","0.91"
"G10392","-1","0.35 (0.18-0.68)","9.7","0.0019"
"G55130","0.053","1.1 (0.74-1.5)","0.09","0.77"
"G55798","0.65","1.9 (0.74-5)","1.8","0.18"
"G339175","0.68","2 (0.98-4)","3.6","0.059"
"G79958","-0.58","0.56 (0.29-1.1)","3","0.084"
"G79961","0.2","1.2 (0.58-2.6)","0.28","0.6"
"G9132","-0.63","0.53 (0.35-0.8)","9.4","0.0022"
"G9177","-0.092","0.91 (0.72-1.2)","0.57","0.45"
"G9966","-0.35","0.71 (0.53-0.95)","5.4","0.02"
"G55079","0.95","2.6 (1.8-3.8)","24","1.1e-06"
"G80833","-0.12","0.89 (0.57-1.4)","0.26","0.61"
"G55607","-0.66","0.52 (0.32-0.84)","7","0.0083"
"G50508","-0.11","0.9 (0.65-1.2)","0.46","0.5"
"G55239","2.1","8.3 (2.8-24)","15","0.00012"
"G10022","0.13","1.1 (0.83-1.6)","0.67","0.41"
"G22806","0.08","1.1 (0.66-1.8)","0.1","0.75"
"G55140","-0.31","0.73 (0.26-2)","0.35","0.55"
"G9992","-0.035","0.97 (0.72-1.3)","0.05","0.82"
"G10242","-0.44","0.64 (0.44-0.94)","5.1","0.024"
"G10813","1.6","5.1 (1.8-14)","9.7","0.0019"
"G29113","0.088","1.1 (0.76-1.6)","0.23","0.63"
"G140803","-0.45","0.64 (0.37-1.1)","2.5","0.12"
"G55779","-0.49","0.62 (0.37-1)","3.6","0.057"
"G55335","-0.26","0.77 (0.45-1.3)","0.94","0.33"
"G55584","0.2","1.2 (0.99-1.5)","3.3","0.068"
"G51233","0.058","1.1 (0.65-1.7)","0.06","0.81"
"G100506571","0.34","1.4 (0.9-2.2)","2.3","0.13"
"G50940","-0.24","0.79 (0.44-1.4)","0.65","0.42"
"G55801","-0.048","0.95 (0.74-1.2)","0.14","0.71"
"G26280","-0.37","0.69 (0.4-1.2)","1.8","0.19"
"G51384","0.22","1.2 (0.89-1.7)","1.7","0.2"
"G258","-0.069","0.93 (0.68-1.3)","0.19","0.67"
"G55891","0.1","1.1 (0.84-1.5)","0.56","0.45"
"G27039","-0.076","0.93 (0.63-1.4)","0.15","0.7"
"G54848","0.017","1 (0.63-1.6)","0","0.94"
"G54967","-0.27","0.76 (0.57-1)","3.5","0.063"
"G157574","0.26","1.3 (0.6-2.8)","0.44","0.51"
"G30813","0.076","1.1 (0.61-1.9)","0.07","0.79"
"G27094","0.15","1.2 (0.73-1.8)","0.41","0.52"
"G23591","-0.05","0.95 (0.75-1.2)","0.17","0.68"
"G51146","-0.046","0.96 (0.7-1.3)","0.08","0.78"
"G51378","-0.26","0.77 (0.6-1)","3.9","0.047"
"G28990","1.3","3.5 (1.3-9.7)","6.1","0.014"
"G2658","-0.013","0.99 (0.73-1.3)","0.01","0.93"
"G29933","-0.32","0.73 (0.39-1.4)","1","0.31"
"G29924","-0.64","0.53 (0.28-0.99)","3.9","0.048"
"G55825","-0.39","0.68 (0.4-1.2)","2","0.15"
"G29935","-0.71","0.49 (0.3-0.82)","7.5","0.0062"
"G27202","0.019","1 (0.78-1.3)","0.02","0.89"
"G56955","-0.24","0.79 (0.61-1)","3.4","0.067"
"G56979","0.04","1 (0.73-1.5)","0.05","0.82"
"G57093","0.07","1.1 (0.8-1.4)","0.21","0.64"
"G642612","0.07","1.1 (0.8-1.4)","0.21","0.64"
"G26261","-0.56","0.57 (0.33-0.99)","3.9","0.048"
"G56344","-1.2","0.3 (0.13-0.72)","7.2","0.0072"
"G56676","-0.18","0.84 (0.64-1.1)","1.6","0.2"
"G10086","-0.15","0.86 (0.45-1.7)","0.19","0.67"
"G51085","-0.22","0.8 (0.57-1.1)","1.7","0.19"
"G23563","0.16","1.2 (0.82-1.7)","0.75","0.39"
"G50616","0.47","1.6 (1-2.5)","4.2","0.04"
"G8074","0.094","1.1 (0.86-1.4)","0.56","0.45"
"G83446","-0.15","0.86 (0.68-1.1)","1.6","0.21"
"G59336","0.15","1.2 (0.89-1.5)","1.2","0.27"
"G59340","-0.34","0.71 (0.51-1)","3.8","0.051"
"G728621","-0.66","0.51 (0.25-1)","3.4","0.064"
"G80099","0.063","1.1 (0.79-1.4)","0.17","0.68"
"G80111","0.21","1.2 (0.97-1.6)","3","0.082"
"G80115","0.14","1.1 (0.81-1.6)","0.6","0.44"
"G100533178","0.16","1.2 (0.84-1.6)","0.92","0.34"
"G80133","-0.062","0.94 (0.77-1.1)","0.38","0.54"
"G100507388","-0.37","0.69 (0.51-0.95)","5.3","0.022"
"G100131532","-0.16","0.85 (0.61-1.2)","0.83","0.36"
"G80199","-0.28","0.76 (0.54-1.1)","2.8","0.096"
"G27141","0.39","1.5 (0.87-2.5)","2.1","0.15"
"G80222","0.3","1.4 (0.71-2.6)","0.86","0.35"
"G102465529","0.3","1.4 (0.71-2.6)","0.86","0.35"
"G29919","-0.46","0.63 (0.38-1)","3.3","0.068"
"G79157","0.3","1.4 (0.54-3.4)","0.41","0.52"
"G51136","-0.17","0.84 (0.4-1.8)","0.21","0.65"
"G653645","0.78","2.2 (1.3-3.7)","7.9","0.0051"
"G1103","-0.12","0.89 (0.69-1.1)","0.91","0.34"
"G6343","-1","0.36 (0.17-0.76)","7.1","0.0077"
"G64096","0.35","1.4 (0.84-2.4)","1.7","0.19"
"G100862697","-0.045","0.96 (0.73-1.3)","0.1","0.75"
"G7711","-0.95","0.39 (0.19-0.79)","6.8","0.009"
"G26960","-0.21","0.81 (0.55-1.2)","1.2","0.28"
"G79684","-1.1","0.33 (0.2-0.55)","18","2.5e-05"
"G56914","0.43","1.5 (1.1-2.1)","6.9","0.0086"
"G80896","0.21","1.2 (0.8-1.9)","0.93","0.33"
"G56911","-0.08","0.92 (0.52-1.6)","0.07","0.79"
"G26012","-0.68","0.51 (0.17-1.5)","1.5","0.22"
"G102466223","-0.4","0.67 (0.29-1.6)","0.88","0.35"
"G54101","-0.088","0.92 (0.6-1.4)","0.17","0.68"
"G22955","-0.77","0.46 (0.2-1.1)","3.1","0.078"
"G27010","0.012","1 (0.52-2)","0","0.97"
"G55681","0.31","1.4 (0.56-3.4)","0.47","0.49"
"G54964","-0.32","0.73 (0.46-1.2)","1.8","0.18"
"G1154","-0.21","0.81 (0.47-1.4)","0.6","0.44"
"G79877","-0.5","0.61 (0.3-1.2)","1.9","0.17"
"G55515","0.2","1.2 (0.91-1.6)","1.8","0.18"
"G51805","0.0021","1 (0.41-2.4)","0","1"
"G55006","1.1","2.9 (1-8.3)","3.9","0.047"
"G55051","-0.84","0.43 (0.25-0.74)","9.6","0.002"
"G26287","0.38","1.5 (1.1-2)","6.5","0.011"
"G57579","-0.47","0.63 (0.33-1.2)","2","0.16"
"G60468","-0.31","0.74 (0.42-1.3)","1.1","0.29"
"G81551","0.53","1.7 (0.99-2.9)","3.6","0.057"
"G79366","-0.43","0.65 (0.35-1.2)","1.8","0.18"
"G79369","0.59","1.8 (0.94-3.5)","3.1","0.077"
"G29013","-0.47","0.63 (0.42-0.94)","5.1","0.024"
"G81558","-0.8","0.45 (0.25-0.8)","7.4","0.0066"
"G83463","0.3","1.3 (0.91-2)","2.3","0.13"
"G83444","0.36","1.4 (0.65-3.2)","0.81","0.37"
"G100532735","0.4","1.5 (0.68-3.2)","1","0.31"
"G83445","-0.46","0.63 (0.43-0.91)","6","0.014"
"G81567","0.74","2.1 (0.97-4.5)","3.6","0.059"
"G100526836","0.74","2.1 (0.97-4.5)","3.6","0.059"
"G83394","-1.3","0.27 (0.13-0.54)","14","0.00023"
"G83460","0.57","1.8 (0.85-3.7)","2.3","0.13"
"G81932","0.59","1.8 (1.1-3.1)","4.9","0.027"
"G81930","0.55","1.7 (1.1-2.8)","5.3","0.021"
"G56159","0.43","1.5 (1.2-2)","11","0.00087"
"G81566","1.2","3.3 (1.6-6.8)","11","0.00096"
"G81557","0.32","1.4 (1.1-1.8)","6.2","0.013"
"G728239","0.32","1.4 (1.1-1.8)","6.2","0.013"
"G100124541","0.32","1.4 (1.1-1.8)","6.2","0.013"
"G101340250","0.32","1.4 (1.1-1.8)","6.2","0.013"
"G83443","1.1","3.1 (1.2-7.9)","5.6","0.018"
"G81501","0.093","1.1 (0.84-1.4)","0.45","0.5"
"G81926","0.83","2.3 (0.94-5.6)","3.4","0.067"
"G81537","-0.035","0.97 (0.52-1.8)","0.01","0.91"
"G83442","0.9","2.4 (1.2-4.9)","6.5","0.011"
"G81890","-0.4","0.67 (0.38-1.2)","2","0.16"
"G59067","0.08","1.1 (0.81-1.4)","0.3","0.59"
"G81563","-0.63","0.53 (0.3-0.95)","4.6","0.031"
"G727800","0.41","1.5 (1.1-2)","7.3","0.0068"
"G81562","-0.17","0.84 (0.32-2.2)","0.12","0.73"
"G81493","-1.1","0.34 (0.2-0.59)","15","0.00012"
"G83480","0.2","1.2 (0.4-3.7)","0.12","0.73"
"G3218","0.59","1.8 (1.2-2.7)","8.2","0.0041"
"G54332","-0.31","0.74 (0.43-1.3)","1.2","0.27"
"G8128","0.53","1.7 (1.1-2.6)","5.8","0.016"
"G51237","0.22","1.2 (0.99-1.5)","3.6","0.056"
"G6041","0.058","1.1 (0.49-2.3)","0.02","0.88"
"G2845","-0.21","0.81 (0.62-1.1)","2.3","0.13"
"G1750","0.022","1 (0.71-1.5)","0.01","0.91"
"G84939","-1.1","0.33 (0.15-0.71)","7.8","0.0051"
"G80328","0.41","1.5 (0.97-2.4)","3.3","0.068"
"G8643","0.18","1.2 (0.79-1.8)","0.73","0.39"
"G50619","-0.083","0.92 (0.49-1.7)","0.07","0.8"
"G2844","0.2","1.2 (0.7-2.1)","0.52","0.47"
"G1149","-0.31","0.73 (0.54-0.99)","4","0.046"
"G7007","-0.35","0.71 (0.52-0.95)","5.1","0.024"
"G55507","-0.14","0.87 (0.67-1.1)","1.2","0.28"
"G9376","-0.048","0.95 (0.58-1.6)","0.03","0.85"
"G23742","0.28","1.3 (1-1.7)","4","0.045"
"G80737","0.46","1.6 (1.1-2.2)","7.2","0.0075"
"G28999","-0.74","0.48 (0.31-0.75)","11","0.0011"
"G29930","0.44","1.6 (1-2.4)","3.8","0.052"
"G2850","-0.29","0.75 (0.51-1.1)","2.2","0.13"
"G30820","0.15","1.2 (0.8-1.7)","0.62","0.43"
"G10818","-1.2","0.3 (0.1-0.89)","4.7","0.031"
"G84991","-0.63","0.53 (0.2-1.4)","1.6","0.21"
"G2259","-0.67","0.51 (0.31-0.84)","7","0.008"
"G57226","-0.17","0.85 (0.24-3)","0.07","0.8"
"G9340","0.13","1.1 (0.8-1.6)","0.52","0.47"
"G9293","0.19","1.2 (0.64-2.3)","0.35","0.56"
"G2661","0.4","1.5 (0.71-3.1)","1.1","0.29"
"G57828","-0.48","0.62 (0.39-0.98)","4.2","0.041"
"G56130","-0.29","0.75 (0.53-1.1)","2.6","0.11"
"G58158","-0.089","0.92 (0.72-1.2)","0.53","0.47"
"G56128","0.22","1.2 (0.96-1.6)","2.8","0.093"
"G10017","0.075","1.1 (0.74-1.6)","0.15","0.7"
"G64111","-0.18","0.84 (0.68-1)","2.6","0.11"
"G80329","-0.11","0.9 (0.67-1.2)","0.49","0.49"
"G50834","-0.096","0.91 (0.69-1.2)","0.49","0.48"
"G56659","0.012","1 (0.78-1.3)","0.01","0.93"
"G2652","-0.56","0.57 (0.4-0.81)","9.6","0.0019"
"G5956","-0.56","0.57 (0.4-0.81)","9.6","0.0019"
"G728458","-0.56","0.57 (0.4-0.81)","9.6","0.0019"
"G101060233","-0.56","0.57 (0.4-0.81)","9.6","0.0019"
"G26285","-0.46","0.63 (0.45-0.88)","7.1","0.0076"
"G23538","0.14","1.1 (0.9-1.4)","1.3","0.26"
"G1129","-0.038","0.96 (0.71-1.3)","0.06","0.8"
"G1493","0.16","1.2 (0.66-2.1)","0.3","0.59"
"G9210","-0.21","0.81 (0.52-1.3)","0.9","0.34"
"G50943","-0.51","0.6 (0.36-1)","3.7","0.056"
"G56006","0.86","2.4 (0.88-6.4)","2.9","0.088"
"G474","0.31","1.4 (1-1.8)","4.8","0.028"
"G11086","-0.13","0.87 (0.6-1.3)","0.5","0.48"
"G79136","-0.34","0.71 (0.57-0.89)","9","0.0027"
"G442194","0.08","1.1 (0.81-1.4)","0.3","0.58"
"G1046","0.21","1.2 (0.95-1.6)","2.4","0.12"
"G8386","-0.24","0.78 (0.54-1.1)","1.6","0.2"
"G80739","0.24","1.3 (0.97-1.7)","3","0.085"
"G26531","-0.066","0.94 (0.7-1.3)","0.19","0.66"
"G26529","0.094","1.1 (0.6-2)","0.1","0.76"
"G2867","0.096","1.1 (0.8-1.5)","0.34","0.56"
"G26476","0.015","1 (0.71-1.5)","0.01","0.94"
"G1133","-0.29","0.75 (0.56-1)","3.7","0.054"
"G4880","0.46","1.6 (1.2-2)","14","2e-04"
"G7441","0.076","1.1 (0.83-1.4)","0.33","0.57"
"G3224","0.31","1.4 (0.95-2)","2.8","0.095"
"G3350","-0.29","0.75 (0.58-0.98)","4.6","0.032"
"G4994","0.59","1.8 (1.2-2.7)","8.1","0.0045"
"G2847","0.45","1.6 (1-2.4)","4","0.045"
"G1146","-0.24","0.78 (0.57-1.1)","2.3","0.13"
"G22953","-1.6","0.2 (0.12-0.36)","30","3.9e-08"
"G1132","-0.067","0.93 (0.65-1.3)","0.13","0.72"
"G2832","-0.19","0.83 (0.64-1.1)","1.9","0.16"
"G2668","0.17","1.2 (0.8-1.8)","0.71","0.4"
"G2693","0.34","1.4 (0.84-2.4)","1.6","0.2"
"G4975","-0.52","0.59 (0.31-1.2)","2.4","0.12"
"G3361","-0.099","0.91 (0.66-1.2)","0.36","0.55"
"G2848","-0.091","0.91 (0.69-1.2)","0.43","0.51"
"G2895","0.098","1.1 (0.84-1.4)","0.5","0.48"
"G2862","0.12","1.1 (0.86-1.5)","0.73","0.39"
"G4825","0.1","1.1 (0.83-1.5)","0.48","0.49"
"G4342","-0.01","0.99 (0.74-1.3)","0","0.94"
"G4759","-0.27","0.77 (0.57-1)","3.2","0.075"
"G4543","0.35","1.4 (1.1-1.9)","5.4","0.02"
"G100131827","0.23","1.3 (0.76-2.1)","0.81","0.37"
"G8995","-0.14","0.87 (0.57-1.3)","0.41","0.52"
"G8823","-0.051","0.95 (0.71-1.3)","0.12","0.73"
"G8390","-0.088","0.92 (0.65-1.3)","0.25","0.62"
"G8822","-0.16","0.85 (0.59-1.2)","0.78","0.38"
"G11317","0.11","1.1 (0.83-1.5)","0.51","0.48"
"G9350","-0.51","0.6 (0.4-0.89)","6.6","0.01"
"G10316","-0.39","0.68 (0.45-1)","3.6","0.059"
"G7350","0.029","1 (0.68-1.5)","0.02","0.89"
"G2865","0.27","1.3 (0.83-2.1)","1.3","0.25"
"G2866","0.27","1.3 (0.83-2.1)","1.3","0.25"
"G4995","0.18","1.2 (0.87-1.6)","1.2","0.27"
"G64106","0.014","1 (0.65-1.6)","0","0.95"
"G8383","0.33","1.4 (1-1.9)","4.5","0.035"
"G30814","-0.42","0.65 (0.48-0.89)","7.2","0.0074"
"G50840","-0.5","0.61 (0.3-1.2)","2","0.16"
"G50832","0.015","1 (0.73-1.4)","0.01","0.93"
"G9288","0.15","1.2 (0.91-1.5)","1.4","0.23"
"G9287","0.073","1.1 (0.84-1.4)","0.32","0.57"
"G50838","0.37","1.5 (1.1-1.9)","8.8","0.003"
"G50837","-0.26","0.77 (0.59-1)","3.5","0.062"
"G50839","-0.29","0.75 (0.54-1)","3.1","0.08"
"G50836","-0.11","0.9 (0.66-1.2)","0.48","0.49"
"G60401","0.1","1.1 (0.84-1.5)","0.51","0.48"
"G4992","0.11","1.1 (0.76-1.6)","0.3","0.58"
"G11172","0.18","1.2 (0.94-1.5)","2.2","0.14"
"G27179","-0.078","0.92 (0.68-1.3)","0.24","0.62"
"G57369","-0.44","0.64 (0.34-1.2)","1.8","0.18"
"G56124","-0.018","0.98 (0.71-1.4)","0.01","0.91"
"G56656","-0.27","0.76 (0.53-1.1)","2.2","0.14"
"G56132","-0.071","0.93 (0.69-1.3)","0.22","0.64"
"G3238","0.24","1.3 (0.8-2)","1","0.31"
"G57191","-0.32","0.72 (0.53-1)","3.9","0.048"
"G9196","-0.17","0.85 (0.65-1.1)","1.5","0.22"
"G81623","0.15","1.2 (0.86-1.6)","0.98","0.32"
"G64600","0.32","1.4 (0.83-2.3)","1.6","0.21"
"G53637","0.19","1.2 (0.61-2.4)","0.29","0.59"
"G10025","0.66","1.9 (0.79-4.7)","2.1","0.15"
"G81792","1","2.9 (1.5-5.4)","11","0.0012"
"G81571","-0.79","0.45 (0.27-0.76)","8.9","0.0029"
"G693185","-0.79","0.45 (0.27-0.76)","8.9","0.0029"
"G81555","0.52","1.7 (0.57-5)","0.89","0.35"
"G81285","-0.29","0.75 (0.48-1.2)","1.6","0.21"
"G8392","-0.26","0.77 (0.49-1.2)","1.2","0.28"
"G81669","-0.89","0.41 (0.23-0.74)","8.7","0.0032"
"G79718","0.25","1.3 (0.4-4.2)","0.17","0.68"
"G56157","-0.14","0.87 (0.57-1.3)","0.4","0.53"
"G81847","-0.87","0.42 (0.18-0.98)","4.1","0.044"
"G26291","-0.23","0.8 (0.6-1.1)","2.6","0.11"
"G81892","0.78","2.2 (1-4.6)","4.2","0.04"
"G81888","-1.1","0.34 (0.15-0.8)","6.1","0.013"
"G83461","0.5","1.6 (1.2-2.2)","12","0.00046"
"G64960","0.25","1.3 (0.55-3)","0.33","0.56"
"G56158","-0.33","0.72 (0.56-0.92)","6.8","0.009"
"G10741","0.08","1.1 (0.54-2.2)","0.05","0.82"
"G2928","0.14","1.2 (0.93-1.4)","1.7","0.19"
"G4159","0.092","1.1 (0.78-1.5)","0.29","0.59"
"G51052","-0.46","0.63 (0.4-0.98)","4.1","0.042"
"G50833","-0.16","0.86 (0.69-1.1)","2","0.16"
"G26189","0.18","1.2 (0.91-1.6)","1.7","0.19"
"G11085","-0.3","0.74 (0.54-1)","3.5","0.061"
"G83468","0.39","1.5 (0.97-2.2)","3.3","0.069"
"G56154","-0.18","0.84 (0.61-1.1)","1.2","0.27"
"G56123","-0.19","0.83 (0.47-1.5)","0.42","0.52"
"G26692","0.14","1.2 (0.89-1.5)","1.2","0.28"
"G81853","0.35","1.4 (0.5-4.1)","0.43","0.51"
"G57818","0.081","1.1 (0.62-1.9)","0.08","0.78"
"G7473","0.27","1.3 (0.9-1.9)","2","0.16"
"G101929777","0.27","1.3 (0.9-1.9)","2","0.16"
"G50831","-0.061","0.94 (0.63-1.4)","0.09","0.76"
"G56244","-0.17","0.84 (0.58-1.2)","0.79","0.37"
"G3355","-0.11","0.9 (0.67-1.2)","0.49","0.48"
"G9038","0.01","1 (0.72-1.4)","0","0.95"
"G4993","-0.31","0.74 (0.53-1)","3.5","0.061"
"G50835","0.18","1.2 (0.77-1.9)","0.62","0.43"
"G55554","0.15","1.2 (0.65-2.1)","0.25","0.62"
"G6369","-0.12","0.89 (0.69-1.1)","0.88","0.35"
"G4991","0.11","1.1 (0.66-1.9)","0.17","0.68"
"G8590","-0.066","0.94 (0.6-1.5)","0.09","0.77"
"G5030","0.19","1.2 (0.67-2.2)","0.39","0.53"
"G4160","0.038","1 (0.7-1.5)","0.04","0.85"
"G2854","0.041","1 (0.77-1.4)","0.07","0.79"
"G27178","0.18","1.2 (1-1.4)","3.8","0.051"
"G665","0.35","1.4 (0.63-3.2)","0.71","0.4"
"G9334","0.91","2.5 (1.4-4.6)","8.6","0.0034"
"G51596","0.82","2.3 (0.72-7.2)","1.9","0.16"
"G81848","-0.6","0.55 (0.32-0.94)","4.7","0.03"
"G51271","0.79","2.2 (1.1-4.4)","5","0.026"
"G10766","-1.3","0.27 (0.11-0.67)","7.9","0.005"
"G54583","0.68","2 (0.9-4.3)","2.9","0.089"
"G3839","-0.35","0.71 (0.26-1.9)","0.46","0.5"
"G8562","0.34","1.4 (0.46-4.2)","0.35","0.55"
"G84065","0.95","2.6 (0.87-7.7)","2.9","0.087"
"G51451","0.14","1.1 (0.5-2.6)","0.1","0.75"
"G9440","-2.3","0.11 (0.038-0.29)","19","1.4e-05"
"G55031","0.2","1.2 (0.39-3.9)","0.12","0.73"
"G6468","-0.6","0.55 (0.19-1.6)","1.2","0.27"
"G55143","0.48","1.6 (1.2-2.1)","13","3e-04"
"G84079","-0.14","0.87 (0.33-2.3)","0.08","0.77"
"G58528","0.32","1.4 (0.87-2.2)","1.8","0.17"
"G83637","0.24","1.3 (0.7-2.3)","0.63","0.43"
"G83483","0.83","2.3 (1.3-4.2)","7.5","0.0062"
"G79365","0.35","1.4 (0.71-2.9)","0.97","0.32"
"G83638","1.6","4.8 (1.5-15)","7.2","0.0072"
"G55341","-0.29","0.75 (0.35-1.6)","0.59","0.44"
"G1978","0.8","2.2 (1.4-3.4)","13","3e-04"
"G2966","-1.1","0.32 (0.17-0.62)","12","0.00058"
"G728340","-0.7","0.5 (0.27-0.92)","4.9","0.027"
"G730394","-1.8","0.17 (0.087-0.33)","28","1.4e-07"
"G11160","0.62","1.9 (1.1-3.2)","4.9","0.027"
"G8559","-0.39","0.68 (0.32-1.4)","1.1","0.3"
"G80895","0.95","2.6 (0.8-8.4)","2.5","0.11"
"G83743","0.87","2.4 (1.1-5.1)","5.2","0.022"
"G57406","-0.25","0.78 (0.41-1.5)","0.61","0.44"
"G79003","-1.6","0.2 (0.076-0.54)","10","0.0014"
"G57787","0.95","2.6 (1.4-4.9)","8.9","0.0029"
"G6646","-0.083","0.92 (0.44-1.9)","0.05","0.83"
"G23410","-0.99","0.37 (0.15-0.93)","4.5","0.034"
"G51063","-0.01","0.99 (0.55-1.8)","0","0.97"
"G65010","-0.61","0.54 (0.26-1.2)","2.5","0.11"
"G102465495","-0.046","0.95 (0.53-1.7)","0.02","0.88"
"G79020","0.53","1.7 (0.94-3.1)","3.1","0.08"
"G9518","-0.11","0.9 (0.69-1.2)","0.66","0.42"
"G83937","0.62","1.9 (1-3.3)","4.5","0.034"
"G100529239","0.0096","1 (0.25-4)","0","0.99"
"G654320","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G677792","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G677805","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G677822","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G692063","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G692072","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G100302240","-0.77","0.46 (0.17-1.2)","2.3","0.13"
"G92815","0.22","1.2 (0.75-2.1)","0.71","0.4"
"G27092","0.65","1.9 (1.1-3.3)","5.4","0.021"
"G1875","0.16","1.2 (0.72-1.9)","0.42","0.52"
"G55009","0.013","1 (0.51-2)","0","0.97"
"G54478","0.21","1.2 (0.9-1.7)","1.7","0.19"
"G84060","-0.84","0.43 (0.19-0.97)","4.1","0.042"
"G29100","0.99","2.7 (1.5-4.9)","11","0.001"
"G9214","-0.045","0.96 (0.71-1.3)","0.09","0.76"
"G9409","1","2.7 (1.2-6.4)","5.3","0.022"
"G51268","0.23","1.3 (0.77-2.1)","0.82","0.37"
"G7475","-0.04","0.96 (0.52-1.8)","0.02","0.9"
"G55620","0.3","1.3 (0.79-2.3)","1.2","0.27"
"G57408","0.18","1.2 (0.78-1.8)","0.68","0.41"
"G54469","-1","0.37 (0.16-0.83)","5.8","0.016"
"G9501","-0.19","0.83 (0.52-1.3)","0.61","0.44"
"G51616","-1.5","0.22 (0.063-0.73)","6","0.014"
"G23787","1.4","4 (1.1-14)","4.5","0.034"
"G79135","0.48","1.6 (1.1-2.5)","4.8","0.028"
"G654434","-0.57","0.57 (0.3-1.1)","3.1","0.08"
"G677781","-0.57","0.57 (0.3-1.1)","3.1","0.08"
"G102466864","-0.57","0.57 (0.3-1.1)","3.1","0.08"
"G54514","-0.26","0.77 (0.61-0.98)","4.6","0.033"
"G10785","0.16","1.2 (0.64-2.2)","0.25","0.61"
"G118433","0.28","1.3 (0.59-3)","0.47","0.49"
