"","beta","HR (95% CI for HR)","wald.test","p.value"
"G401303","0.21","1.2 (0.18-8.4)","0.05","0.83"
"G645700","0.21","1.2 (0.18-8.4)","0.05","0.83"
"G644192","0.53","1.7 (0.98-2.9)","3.5","0.061"
"G149775","0.57","1.8 (0.61-5.2)","1.1","0.3"
"G644139","-0.3","0.74 (0.14-3.8)","0.13","0.72"
"G140862","0.23","1.3 (0.7-2.3)","0.6","0.44"
"G128646","0.33","1.4 (0.25-7.8)","0.14","0.7"
"G128826","-0.87","0.42 (0.091-1.9)","1.2","0.26"
"G101929177","-1.2","0.3 (0.098-0.92)","4.4","0.036"
"G100132101","1.8","5.8 (0.69-49)","2.6","0.11"
"G57677","0.62","1.9 (0.51-6.8)","0.89","0.35"
"G138649","0.5","1.6 (0.38-7.1)","0.45","0.5"
"G3743","0.58","1.8 (0.16-20)","0.22","0.64"
"G140849","-0.68","0.5 (0.12-2.1)","0.89","0.34"
"G440200","0.52","1.7 (0.97-2.9)","3.4","0.066"
"G285955","-0.65","0.52 (0.16-1.7)","1.2","0.27"
"G442590","-0.65","0.52 (0.16-1.7)","1.2","0.27"
"G729597","-0.65","0.52 (0.16-1.7)","1.2","0.27"
"G100310812","-0.65","0.52 (0.16-1.7)","1.2","0.27"
"G400684","-0.94","0.39 (0.15-1)","3.9","0.049"
"G64900","-0.1","0.9 (0.13-6.1)","0.01","0.92"
"G92565","0.012","1 (0.6-1.7)","0","0.96"
"G92340","-0.29","0.75 (0.23-2.4)","0.24","0.63"
"G692236","-1.1","0.34 (0.049-2.4)","1.2","0.28"
"G727708","-1.1","0.34 (0.049-2.4)","1.2","0.28"
"G100033429","-1.1","0.34 (0.049-2.4)","1.2","0.28"
"G100033431","-1.1","0.34 (0.049-2.4)","1.2","0.28"
"G100033432","-1.1","0.34 (0.049-2.4)","1.2","0.28"
"G406902","0.45","1.6 (1-2.4)","4.4","0.037"
"G90060","-0.64","0.53 (0.081-3.4)","0.45","0.5"
"G100132911","1.8","6 (0.76-47)","2.9","0.09"
"G221814","0.018","1 (0.15-6.9)","0","0.99"
"G90167","-1.4","0.24 (0.0066-8.5)","0.62","0.43"
"G84631","-0.91","0.4 (0.06-2.7)","0.87","0.35"
"G1769","0.73","2.1 (0.35-12)","0.65","0.42"
"G345895","-0.076","0.93 (0.24-3.6)","0.01","0.91"
"G84628","0.44","1.6 (0.93-2.6)","2.9","0.09"
"G282973","-1.7","0.17 (0.039-0.78)","5.2","0.023"
"G399876","1.3","3.8 (0.71-21)","2.4","0.12"
"G57232","-0.94","0.39 (0.13-1.2)","2.8","0.095"
"G200232","-2.6","0.073 (0.0055-0.96)","4","0.046"
"G100271840","-0.071","0.93 (0.43-2)","0.03","0.86"
"G145438","1.8","5.9 (2.6-14)","17","3.2e-05"
"G83596","-0.32","0.73 (0.32-1.7)","0.58","0.45"
"G100302522","0.17","1.2 (0.29-4.7)","0.06","0.81"
"G139735","-0.44","0.64 (0.21-2)","0.58","0.45"
"G100506527","0.6","1.8 (0.46-7.1)","0.73","0.39"
"G140886","-1.5","0.22 (0.01-4.6)","0.96","0.33"
"G140873","0.91","2.5 (0.54-11)","1.4","0.24"
"G168391","0.24","1.3 (0.096-17)","0.03","0.86"
"G100101120","1.1","3 (0.26-33)","0.78","0.38"
"G93233","-0.4","0.67 (0.36-1.2)","1.6","0.21"
"G3888","1.1","3 (0.67-14)","2.1","0.15"
"G100874241","1.4","3.9 (0.37-40)","1.3","0.26"
"G140881","1.2","3.2 (0.3-35)","0.92","0.34"
"G101926892","0.24","1.3 (0.11-15)","0.04","0.85"
"G731157","0.67","2 (0.15-26)","0.26","0.61"
"G83642","-0.76","0.47 (0.15-1.4)","1.8","0.18"
"G100885781","-0.3","0.74 (0.074-7.4)","0.07","0.8"
"G116443","1.6","5.2 (0.91-29)","3.4","0.063"
"G100507642","-0.65","0.52 (0.28-0.96)","4.4","0.037"
"G90655","0.92","2.5 (0.32-20)","0.77","0.38"
"G101929110","-0.74","0.48 (0.059-3.9)","0.47","0.49"
"G200609","1","2.7 (0.73-10)","2.2","0.14"
"G388439","0.14","1.2 (0.47-2.8)","0.09","0.76"
"G117285","0.28","1.3 (0.37-4.7)","0.18","0.67"
"G57528","0.35","1.4 (0.08-25)","0.06","0.81"
"G26526","0.086","1.1 (0.13-9.3)","0.01","0.94"
"G101927115","-1.5","0.23 (0.0088-6)","0.78","0.38"
"G100507073","0.071","1.1 (0.49-2.3)","0.03","0.86"
"G64168","-1.1","0.35 (0.019-6.4)","0.51","0.48"
"G145845","0.36","1.4 (0.15-14)","0.1","0.76"
"G146771","0.26","1.3 (0.79-2.1)","1","0.31"
"G90834","0.83","2.3 (0.46-11)","1","0.31"
"G339829","-2.3","0.097 (0.0033-2.8)","1.8","0.18"
"G101928882","-2.3","0.097 (0.0033-2.8)","1.8","0.18"
"G26080","0.1","1.1 (0.093-13)","0.01","0.94"
"G642633","-1.1","0.34 (0.084-1.4)","2.2","0.14"
"G729461","0.23","1.3 (0.4-4)","0.16","0.69"
"G153218","0.053","1.1 (0.52-2.1)","0.02","0.88"
"G100134040","0.96","2.6 (0.42-16)","1","0.31"
"G140850","-2.5","0.082 (0.0049-1.4)","3","0.084"
"G340390","-0.82","0.44 (0.058-3.3)","0.63","0.43"
"G90342","-0.54","0.58 (0.077-4.4)","0.28","0.6"
"G284739","-0.2","0.82 (0.3-2.2)","0.17","0.68"
"G440730","0.082","1.1 (0.22-5.3)","0.01","0.92"
"G91450","2.4","11 (1.2-100)","4.5","0.033"
"G101927620","2.8","17 (3.6-80)","13","0.00038"
"G353497","-0.82","0.44 (0.059-3.3)","0.64","0.42"
"G254272","1.2","3.3 (0.32-34)","1","0.31"
"G101928729","0.56","1.7 (0.21-14)","0.27","0.61"
"G84867","-0.25","0.78 (0.085-7.1)","0.05","0.82"
"G284240","-1.1","0.35 (0.033-3.7)","0.77","0.38"
"G96597","0.059","1.1 (0.27-4.1)","0.01","0.93"
"G101928881","0.74","2.1 (0.65-6.7)","1.6","0.21"
"G84659","0.013","1 (0.13-7.8)","0","0.99"
"G100268168","0.28","1.3 (0.18-9.5)","0.08","0.78"
"G79541","0.43","1.5 (0.56-4.2)","0.71","0.4"
"G401427","0.37","1.4 (0.65-3.2)","0.8","0.37"
"G728377","0.37","1.4 (0.65-3.2)","0.8","0.37"
"G100653233","-0.26","0.77 (0.16-3.6)","0.11","0.74"
"G100287216","-0.035","0.97 (0.18-5.1)","0","0.97"
"G200162","0.065","1.1 (0.46-2.5)","0.02","0.88"
"G202333","-1.9","0.15 (0.022-1)","3.8","0.05"
"G101929423","2.4","11 (1-120)","4","0.047"
"G149954","-0.21","0.81 (0.26-2.6)","0.13","0.72"
"G158314","2.9","18 (1.4-230)","4.9","0.028"
"G101929340","-0.25","0.78 (0.38-1.6)","0.47","0.49"
"G83895","1.4","4.2 (0.62-28)","2.2","0.14"
"G83897","-0.46","0.63 (0.051-7.8)","0.13","0.72"
"G83896","-0.1","0.9 (0.44-1.9)","0.07","0.79"
"G644714","1","2.7 (0.41-18)","1.1","0.3"
"G283075","0.18","1.2 (0.14-10)","0.03","0.86"
"G642776","0.86","2.4 (0.26-22)","0.59","0.44"
"G84856","0.58","1.8 (0.61-5.2)","1.1","0.29"
"G27111","0.12","1.1 (0.72-1.8)","0.26","0.61"
"G100528031","0.12","1.1 (0.72-1.8)","0.26","0.61"
"G100873949","1.1","3 (0.58-15)","1.7","0.19"
"G257044","-3.3","0.037 (0.00071-1.9)","2.7","0.1"
"G100506457","1.6","5 (0.32-79)","1.3","0.25"
"G441459","-0.1","0.91 (0.15-5.6)","0.01","0.91"
"G150379","0.63","1.9 (0.32-11)","0.49","0.48"
"G728061","0.67","2 (1.1-3.5)","5","0.025"
"G401081","0.39","1.5 (0.066-34)","0.06","0.8"
"G645355","0.98","2.7 (0.49-14)","1.3","0.26"
"G128854","0.51","1.7 (0.51-5.5)","0.71","0.4"
"G83899","1.6","4.7 (0.72-31)","2.6","0.11"
"G83901","3","20 (1.3-310)","4.6","0.033"
"G91862","-0.1","0.9 (0.44-1.9)","0.07","0.79"
"G85280","0.03","1 (0.097-11)","0","0.98"
"G389633","0.56","1.7 (0.35-8.6)","0.47","0.49"
"G729689","0.56","1.7 (0.35-8.6)","0.47","0.49"
"G84954","-0.29","0.75 (0.28-2)","0.34","0.56"
"G100861544","1.4","3.9 (0.37-40)","1.3","0.26"
"G57159","-0.65","0.52 (0.12-2.2)","0.8","0.37"
"G374491","0.34","1.4 (0.42-4.7)","0.31","0.58"
"G100506472","0.0049","1 (0.11-9)","0","1"
"G101929454","0.61","1.8 (0.15-22)","0.23","0.63"
"G85293","1.7","5.8 (0.083-400)","0.65","0.42"
"G284366","-0.084","0.92 (0.19-4.5)","0.01","0.92"
"G101928574","-0.48","0.62 (0.072-5.3)","0.19","0.66"
"G100506033","-0.67","0.51 (0.081-3.2)","0.51","0.48"
"G100689074","-0.57","0.57 (0.1-3.1)","0.43","0.51"
"G100289333","0.83","2.3 (0.85-6.2)","2.7","0.1"
"G101927769","-0.15","0.86 (0.046-16)","0.01","0.92"
"G206412","0.59","1.8 (0.52-6.3)","0.88","0.35"
"G140880","0.74","2.1 (0.16-28)","0.31","0.58"
"G440131","0.93","2.5 (0.33-20)","0.8","0.37"
"G140875","1.4","4 (0.76-21)","2.7","0.1"
"G27146","-1","0.36 (0.064-2.1)","1.3","0.26"
"G140711","-1","0.35 (0.065-1.9)","1.4","0.23"
"G90246","-0.11","0.9 (0.18-4.5)","0.02","0.9"
"G100291666","0.13","1.1 (0.07-18)","0.01","0.93"
"G221527","-0.27","0.77 (0.19-3.1)","0.14","0.7"
"G114800","-0.79","0.45 (0.11-1.9)","1.2","0.28"
"G57593","0.3","1.3 (0.54-3.3)","0.41","0.52"
"G388325","0.53","1.7 (0.23-12)","0.27","0.6"
"G100133790","1","2.9 (0.45-18)","1.2","0.26"
"G116444","0.4","1.5 (0.3-7.5)","0.24","0.63"
"G140732","0.043","1 (0.11-9.6)","0","0.97"
"G140832","0.16","1.2 (0.2-6.9)","0.03","0.86"
"G57624","0.1","1.1 (0.42-2.9)","0.04","0.84"
"G149069","0.28","1.3 (0.31-5.6)","0.14","0.71"
"G101929335","-0.53","0.59 (0.022-16)","0.1","0.75"
"G349160","-0.14","0.87 (0.31-2.4)","0.07","0.79"
"G574443","-0.14","0.87 (0.31-2.4)","0.07","0.79"
"G254439","0.84","2.3 (0.73-7.4)","2","0.15"
"G145497","1.2","3.3 (0.27-41)","0.86","0.35"
"G613126","2.5","12 (0.63-250)","2.8","0.097"
"G255480","0.078","1.1 (0.39-3)","0.02","0.88"
"G221442","-0.94","0.39 (0.037-4.1)","0.61","0.44"
"G140846","-0.00016","1 (0.18-5.6)","0","1"
"G149830","-0.43","0.65 (0.066-6.3)","0.14","0.71"
"G343641","0.39","1.5 (0.28-7.8)","0.21","0.65"
"G83741","0.1","1.1 (0.88-1.4)","0.81","0.37"
"G346007","-1.9","0.15 (0.0031-7)","0.95","0.33"
"G100287166","-0.028","0.97 (0.19-5.1)","0","0.97"
"G101930064","-0.028","0.97 (0.19-5.1)","0","0.97"
"G140701","-0.58","0.56 (0.11-2.8)","0.48","0.49"
"G245934","-0.97","0.38 (0.032-4.5)","0.59","0.44"
"G90499","-0.89","0.41 (0.092-1.8)","1.3","0.25"
"G91948","0.96","2.6 (0.56-12)","1.5","0.22"
"G140689","0.058","1.1 (0.37-3)","0.01","0.91"
"G56120","-0.1","0.9 (0.11-7.3)","0.01","0.92"
"G259289","1.7","5.5 (1.3-23)","5.6","0.018"
"G259291","3.4","30 (1.4-670)","4.7","0.03"
"G128408","1.1","2.9 (0.44-19)","1.2","0.27"
"G143188","0.19","1.2 (0.24-6)","0.05","0.82"
"G343450","0.059","1.1 (0.5-2.3)","0.02","0.88"
"G390874","0.42","1.5 (0.37-6.2)","0.33","0.56"
"G219770","-1.5","0.21 (0.033-1.4)","2.7","0.1"
"G100129069","-1.2","0.31 (0.038-2.5)","1.2","0.27"
"G286059","2.4","11 (0.46-250)","2.2","0.14"
"G101927675","0.34","1.4 (0.19-10)","0.11","0.74"
"G135152","1.1","3 (0.082-110)","0.36","0.55"
"G101927565","0.8","2.2 (0.21-24)","0.43","0.51"
"G101927950","0.52","1.7 (0.28-9.9)","0.32","0.57"
"G400512","0.81","2.2 (0.23-22)","0.48","0.49"
"G101928820","0.99","2.7 (0.69-10)","2","0.15"
"G94233","0.84","2.3 (0.25-21)","0.55","0.46"
"G197350","0.67","2 (0.27-14)","0.44","0.51"
"G101929705","-1.6","0.21 (0.039-1.2)","3.2","0.074"
"G643246","0.18","1.2 (0.24-6)","0.05","0.83"
"G100506405","-0.063","0.94 (0.44-2)","0.03","0.87"
"G92736","-0.055","0.95 (0.15-6)","0","0.95"
"G100653005","1.6","4.8 (0.44-54)","1.6","0.2"
"G388121","0.83","2.3 (0.74-7.1)","2.1","0.15"
"G284729","-1.2","0.31 (0.053-1.8)","1.7","0.2"
"G94235","-0.68","0.5 (0.12-2.1)","0.91","0.34"
"G101929628","1.2","3.3 (0.21-54)","0.73","0.39"
"G728609","-0.41","0.67 (0.47-0.94)","5.5","0.019"
"G56169","0.4","1.5 (0.66-3.3)","0.93","0.33"
"G55902","-1","0.36 (0.17-0.78)","6.8","0.0094"
"G340533","-1.5","0.22 (0.043-1.1)","3.4","0.067"
"G91548","-0.64","0.53 (0.14-1.9)","0.93","0.33"
"G100288675","-0.39","0.68 (0.21-2.1)","0.45","0.5"
"G101929683","0.32","1.4 (0.19-9.8)","0.1","0.75"
"G23145","0.71","2 (0.29-14)","0.51","0.47"
"G84699","-0.12","0.89 (0.1-7.8)","0.01","0.92"
"G135946","0.3","1.3 (0.12-16)","0.06","0.81"
"G26683","1.5","4.7 (1.2-18)","4.8","0.028"
"G81399","1.5","4.7 (1.2-18)","4.8","0.028"
"G441308","1.5","4.7 (1.2-18)","4.8","0.028"
"G729759","1.5","4.7 (1.2-18)","4.8","0.028"
"G340547","0.066","1.1 (0.83-1.4)","0.25","0.62"
"G126370","0.62","1.9 (0.35-9.8)","0.54","0.46"
"G112744","-0.77","0.46 (0.095-2.3)","0.91","0.34"
"G200959","0.64","1.9 (0.14-25)","0.24","0.63"
"G54754","0.37","1.4 (0.37-5.6)","0.29","0.59"
"G441457","0.37","1.4 (0.37-5.6)","0.29","0.59"
"G100288139","0.24","1.3 (0.014-120)","0.01","0.92"
"G100996255","1.5","4.5 (1.5-14)","6.9","0.0088"
"G101927808","0.66","1.9 (0.27-14)","0.42","0.52"
"G128674","0.37","1.5 (0.24-8.9)","0.16","0.69"
"G362495","-0.017","0.98 (0.19-5.1)","0","0.98"
"G200312","1.4","4.2 (0.69-26)","2.4","0.12"
"G146956","0.46","1.6 (0.69-3.7)","1.2","0.28"
"G79339","0.74","2.1 (0.44-10)","0.86","0.35"
"G114805","1.8","6 (1.5-24)","6.4","0.011"
"G101928697","1.2","3.4 (0.19-62)","0.68","0.41"
"G54660","2.2","9.4 (0.91-97)","3.5","0.06"
"G57796","1.4","4.1 (0.51-32)","1.8","0.19"
"G79345","1.1","2.9 (0.49-17)","1.4","0.24"
"G64396","-0.36","0.7 (0.31-1.6)","0.73","0.39"
"G116437","3.3","26 (1.3-510)","4.6","0.033"
"G101929974","3.3","26 (1.3-510)","4.6","0.033"
"G101929180","0.43","1.5 (0.29-8.3)","0.26","0.61"
"G140731","-0.14","0.87 (0.14-5.5)","0.02","0.88"
"G83401","-0.16","0.85 (0.32-2.2)","0.11","0.75"
"G6725","-0.4","0.67 (0.061-7.4)","0.1","0.75"
"G64002","-1.1","0.33 (0.017-6.3)","0.55","0.46"
"G135935","0.19","1.2 (0.22-6.7)","0.04","0.83"
"G390064","2.3","10 (0.98-110)","3.8","0.052"
"G390058","1.1","3 (0.58-16)","1.7","0.19"
"G140687","2.2","9 (0.85-94)","3.3","0.068"
"G442191","1","2.8 (0.51-15)","1.4","0.23"
"G83795","-0.0012","1 (0.19-5.3)","0","1"
"G101929718","0.48","1.6 (0.34-7.6)","0.36","0.55"
"G100506513","-0.26","0.77 (0.033-18)","0.03","0.87"
"G100287902","-0.097","0.91 (0.29-2.8)","0.03","0.87"
"G390066","2","7.3 (1.2-45)","4.6","0.032"
"G390063","0.076","1.1 (0.22-5.2)","0.01","0.92"
"G728224","1.7","5.5 (0.58-52)","2.2","0.14"
"G653240","1.8","6.3 (0.58-69)","2.3","0.13"
"G85285","-0.02","0.98 (0.68-1.4)","0.01","0.91"
"G85289","1.3","3.5 (0.56-22)","1.8","0.18"
"G55998","-0.69","0.5 (0.069-3.6)","0.47","0.49"
"G388572","0.01","1 (0.2-5.2)","0","0.99"
"G731275","0.01","1 (0.2-5.2)","0","0.99"
"G101060494","0.01","1 (0.2-5.2)","0","0.99"
"G101926894","0.01","1 (0.2-5.2)","0","0.99"
"G101930127","0.01","1 (0.2-5.2)","0","0.99"
"G101930567","0.01","1 (0.2-5.2)","0","0.99"
"G85291","0.74","2.1 (0.24-18)","0.44","0.51"
"G85290","1.5","4.6 (0.21-97)","0.95","0.33"
"G83900","-1.5","0.22 (0.0078-6.4)","0.77","0.38"
"G83902","1.4","3.9 (0.65-23)","2.2","0.14"
"G81871","1.2","3.3 (0.58-19)","1.8","0.18"
"G101930568","1.2","3.3 (0.58-19)","1.8","0.18"
"G84616","-0.32","0.72 (0.045-12)","0.05","0.82"
"G100132386","1.2","3.2 (0.65-16)","2.1","0.15"
"G442213","1.4","3.9 (1.1-14)","4.3","0.037"
"G81872","-1.4","0.24 (0.0072-7.9)","0.64","0.42"
"G729262","0.75","2.1 (0.39-11)","0.75","0.39"
"G84559","-1.1","0.35 (0.048-2.5)","1.1","0.29"
"G401634","-1.1","0.35 (0.048-2.5)","1.1","0.29"
"G10509","0.29","1.3 (0.76-2.4)","1","0.31"
"G100129884","0.29","1.3 (0.25-7.2)","0.12","0.73"
"G100287497","-1.1","0.34 (0.097-1.2)","2.8","0.092"
"G283160","1.5","4.6 (0.47-46)","1.7","0.19"
"G84237","0.53","1.7 (0.089-32)","0.12","0.72"
"G728279","0.18","1.2 (0.12-12)","0.02","0.88"
"G101928288","-1.2","0.3 (0.04-2.3)","1.3","0.25"
"G140902","0.21","1.2 (0.21-7.1)","0.05","0.81"
"G127343","-0.078","0.93 (0.078-11)","0","0.95"
"G390059","1.2","3.2 (0.7-15)","2.2","0.13"
"G401265","-1.1","0.33 (0.024-4.6)","0.68","0.41"
"G440432","0.46","1.6 (0.3-8.5)","0.29","0.59"
"G164633","-0.19","0.83 (0.23-3)","0.09","0.77"
"G128817","0.096","1.1 (0.068-18)","0","0.95"
"G283571","0.78","2.2 (0.2-24)","0.41","0.52"
"G55354","-2.6","0.076 (0.0029-1.9)","2.4","0.12"
"G116511","0.53","1.7 (0.31-9.4)","0.36","0.55"
"G101929645","-2","0.14 (0.0083-2.3)","1.9","0.16"
"G101929963","-0.051","0.95 (0.053-17)","0","0.97"
"G101930299","-0.051","0.95 (0.053-17)","0","0.97"
"G83747","-0.083","0.92 (0.11-7.5)","0.01","0.94"
"G647476","0.11","1.1 (0.68-1.8)","0.19","0.66"
"G101929164","0.19","1.2 (0.1-14)","0.02","0.88"
"G101927709","-0.52","0.6 (0.019-18)","0.09","0.77"
"G100506667","2.1","7.9 (0.57-110)","2.4","0.12"
"G100130370","0.71","2 (0.24-18)","0.42","0.52"
"G150992","-0.85","0.43 (0.011-16)","0.21","0.65"
"G346606","-0.16","0.85 (0.11-6.5)","0.02","0.88"
"G93463","-2.4","0.094 (0.003-3)","1.8","0.18"
"G100288175","1.6","4.8 (0.99-23)","3.8","0.051"
"G347365","-0.35","0.7 (0.1-4.7)","0.13","0.72"
"G286436","0.77","2.2 (0.23-20)","0.46","0.5"
"G442184","2.4","11 (0.97-120)","3.8","0.053"
"G26077","-1.2","0.3 (0.041-2.2)","1.4","0.24"
"G114761","0.72","2 (0.36-12)","0.66","0.42"
"G474149","0.72","2 (0.36-12)","0.66","0.42"
"G474150","0.72","2 (0.36-12)","0.66","0.42"
"G388566","-1.4","0.24 (0.028-2.1)","1.6","0.2"
"G57592","0.15","1.2 (0.41-3.3)","0.08","0.78"
"G732275","-0.045","0.96 (0.13-6.9)","0","0.96"
"G400927","0.61","1.8 (0.33-10)","0.49","0.49"
"G284802","-0.21","0.81 (0.19-3.5)","0.08","0.78"
"G57661","0.15","1.2 (0.13-10)","0.02","0.89"
"G339231","-0.096","0.91 (0.3-2.8)","0.03","0.87"
"G92745","0.54","1.7 (1-2.9)","4","0.047"
"G130589","-0.68","0.51 (0.25-1)","3.6","0.056"
"G144233","-0.41","0.67 (0.27-1.7)","0.76","0.38"
"G148534","-0.25","0.78 (0.45-1.4)","0.78","0.38"
"G143458","0.29","1.3 (0.76-2.3)","1","0.31"
"G84945","-0.73","0.48 (0.17-1.4)","1.9","0.17"
"G114801","0.31","1.4 (0.83-2.2)","1.5","0.22"
"G221662","0.27","1.3 (0.62-2.8)","0.49","0.48"
"G115752","-0.27","0.77 (0.33-1.8)","0.37","0.54"
"G729013","-0.75","0.47 (0.21-1)","3.4","0.065"
"G147727","0.056","1.1 (0.56-2)","0.03","0.86"
"G112840","-0.8","0.45 (0.11-1.8)","1.3","0.26"
"G165904","1.7","5.4 (2.2-13)","14","2e-04"
"G154091","-0.078","0.93 (0.51-1.7)","0.06","0.8"
"G126375","0.078","1.1 (0.4-2.9)","0.02","0.88"
"G201475","0.89","2.4 (0.83-7.1)","2.6","0.1"
"G100190986","0.51","1.7 (0.92-3)","2.8","0.094"
"G120379","-1.4","0.25 (0.03-2.1)","1.6","0.2"
"G149840","-0.49","0.61 (0.21-1.8)","0.82","0.37"
"G116143","-0.99","0.37 (0.1-1.3)","2.3","0.13"
"G201292","0.037","1 (0.12-8.7)","0","0.97"
"G151009","-0.59","0.56 (0.23-1.3)","1.7","0.19"
"G440894","-0.59","0.56 (0.23-1.3)","1.7","0.19"
"G157285","0.25","1.3 (0.63-2.6)","0.46","0.5"
"G146439","-0.59","0.55 (0.28-1.1)","3","0.081"
"G123169","-0.39","0.68 (0.34-1.4)","1.2","0.27"
"G152189","-0.088","0.92 (0.5-1.7)","0.08","0.77"
"G26851","0.12","1.1 (0.8-1.6)","0.5","0.48"
"G780851","0.12","1.1 (0.8-1.6)","0.5","0.48"
"G780852","0.12","1.1 (0.8-1.6)","0.5","0.48"
"G780853","0.12","1.1 (0.8-1.6)","0.5","0.48"
"G780854","0.12","1.1 (0.8-1.6)","0.5","0.48"
"G84441","-0.19","0.82 (0.4-1.7)","0.27","0.6"
"G122769","0.7","2 (0.64-6.3)","1.4","0.23"
"G494143","-0.12","0.88 (0.57-1.4)","0.31","0.58"
"G83860","0.33","1.4 (0.38-5)","0.25","0.62"
"G147947","-0.042","0.96 (0.49-1.9)","0.02","0.9"
"G645212","-0.89","0.41 (0.18-0.93)","4.5","0.033"
"G374986","-0.36","0.7 (0.35-1.4)","1","0.31"
"G642946","-0.17","0.84 (0.56-1.3)","0.73","0.39"
"G2793","0.28","1.3 (0.5-3.5)","0.31","0.58"
"G134549","-0.18","0.84 (0.28-2.5)","0.1","0.75"
"G153562","-0.26","0.77 (0.47-1.3)","1","0.31"
"G653121","0.43","1.5 (0.73-3.2)","1.3","0.26"
"G200634","-0.24","0.78 (0.52-1.2)","1.4","0.24"
"G283357","-0.33","0.72 (0.4-1.3)","1.2","0.27"
"G101927204","0.022","1 (0.32-3.3)","0","0.97"
"G138065","0.1","1.1 (0.89-1.4)","0.81","0.37"
"G100506451","-0.32","0.73 (0.22-2.4)","0.27","0.6"
"G126433","0.042","1 (0.44-2.5)","0.01","0.92"
"G100505501","-0.12","0.89 (0.57-1.4)","0.26","0.61"
"G100128822","-0.65","0.52 (0.3-0.91)","5.3","0.022"
"G115361","0.14","1.1 (0.67-2)","0.26","0.61"
"G129450","-1.7","0.18 (0.021-1.6)","2.4","0.12"
"G644634","0.98","2.7 (0.26-28)","0.67","0.41"
"G153733","-0.013","0.99 (0.45-2.2)","0","0.97"
"G541468","0.63","1.9 (0.46-7.7)","0.76","0.38"
"G100216546","-0.76","0.47 (0.041-5.4)","0.37","0.54"
"G116349","-0.47","0.63 (0.28-1.4)","1.3","0.26"
"G643866","0.18","1.2 (0.38-3.7)","0.1","0.76"
"G153129","0.16","1.2 (0.59-2.3)","0.2","0.65"
"G131076","-0.64","0.53 (0.3-0.93)","4.8","0.028"
"G349136","-0.088","0.92 (0.42-2)","0.05","0.83"
"G440836","-0.57","0.57 (0.11-2.9)","0.47","0.5"
"G133015","-0.8","0.45 (0.12-1.6)","1.5","0.22"
"G146862","-0.53","0.59 (0.11-3.1)","0.39","0.53"
"G113828","0.27","1.3 (0.96-1.8)","3","0.084"
"G374897","-0.16","0.86 (0.4-1.8)","0.16","0.69"
"G161582","-1.3","0.27 (0.081-0.9)","4.5","0.033"
"G100506325","-1.1","0.35 (0.1-1.2)","3","0.084"
"G102724532","-0.77","0.46 (0.2-1.1)","3.1","0.078"
"G158431","0.1","1.1 (0.26-4.8)","0.02","0.89"
"G643977","-0.097","0.91 (0.6-1.4)","0.21","0.65"
"G222223","-0.5","0.61 (0.31-1.2)","2","0.15"
"G158234","0.0052","1 (0.18-5.8)","0","1"
"G155038","-0.24","0.78 (0.32-1.9)","0.29","0.59"
"G257144","1","2.8 (0.5-16)","1.4","0.24"
"G124056","-0.16","0.85 (0.26-2.8)","0.07","0.79"
"G728118","1.1","2.9 (0.55-16)","1.6","0.21"
"G256435","-0.021","0.98 (0.43-2.2)","0","0.96"
"G10350","-0.28","0.75 (0.19-2.9)","0.17","0.68"
"G2595","-0.51","0.6 (0.2-1.8)","0.84","0.36"
"G139341","-0.89","0.41 (0.23-0.74)","8.6","0.0033"
"G728485","-0.24","0.79 (0.3-2)","0.24","0.62"
"G375387","0.18","1.2 (0.61-2.3)","0.26","0.61"
"G494513","-1.7","0.18 (0.036-0.94)","4.1","0.042"
"G84665","0.85","2.3 (0.29-19)","0.63","0.43"
"G122525","-0.039","0.96 (0.33-2.8)","0.01","0.94"
"G727936","0.31","1.4 (0.81-2.3)","1.3","0.25"
"G84824","-0.14","0.87 (0.58-1.3)","0.41","0.52"
"G148014","-0.012","0.99 (0.1-9.8)","0","0.99"
"G90523","0.21","1.2 (0.47-3.2)","0.18","0.67"
"G145483","0.83","2.3 (0.66-8.1)","1.7","0.19"
"G100506114","1.4","3.9 (0.68-23)","2.3","0.13"
"G206338","-1.7","0.18 (0.012-2.7)","1.6","0.21"
"G390916","-0.26","0.77 (0.33-1.8)","0.37","0.54"
"G128989","0.34","1.4 (0.39-5.1)","0.27","0.61"
"G285908","0.51","1.7 (0.39-7.1)","0.47","0.49"
"G390980","-0.053","0.95 (0.35-2.6)","0.01","0.92"
"G220004","0.21","1.2 (0.3-5.2)","0.08","0.77"
"G84547","0.19","1.2 (0.35-4.2)","0.09","0.76"
"G163087","-0.76","0.47 (0.1-2.1)","0.97","0.32"
"G404037","0.81","2.2 (0.76-6.6)","2.2","0.14"
"G100507316","-1.4","0.25 (0.057-1.1)","3.2","0.072"
"G246330","0.08","1.1 (0.38-3.1)","0.02","0.88"
"G100131067","-0.55","0.58 (0.27-1.2)","2","0.16"
"G100508046","0.058","1.1 (0.061-18)","0","0.97"
"G100852406","0.058","1.1 (0.061-18)","0","0.97"
"G101929572","0.058","1.1 (0.061-18)","0","0.97"
"G348487","1.6","5 (0.7-36)","2.6","0.11"
"G102724017","-0.66","0.52 (0.27-0.97)","4.2","0.04"
"G91608","0.12","1.1 (0.23-5.5)","0.02","0.88"
"G646962","-0.49","0.61 (0.26-1.5)","1.2","0.27"
"G140458","-3.2","0.043 (0.0013-1.4)","3.1","0.078"
