"","beta","HR (95% CI for HR)","wald.test","p.value"
"G643977","-0.13","0.87 (0.72-1.1)","1.7","0.19"
"G2","0.2","1.2 (0.87-1.7)","1.3","0.25"
"G646494","0.31","1.4 (0.73-2.6)","0.95","0.33"
"G51315","0.23","1.3 (0.8-2)","0.96","0.33"
"G283229","0.0016","1 (0.71-1.4)","0","0.99"
"G158131","-0.14","0.87 (0.33-2.3)","0.08","0.77"
"G285596","-0.4","0.67 (0.26-1.7)","0.69","0.41"
"G440982","-0.37","0.69 (0.28-1.7)","0.62","0.43"
"G9258","-0.1","0.9 (0.64-1.3)","0.33","0.56"
"G3242","-0.33","0.72 (0.34-1.5)","0.77","0.38"
"G149373","0.18","1.2 (0.63-2.3)","0.3","0.58"
"G23295","-0.26","0.77 (0.56-1.1)","2.6","0.11"
"G339175","0.11","1.1 (0.58-2.1)","0.11","0.74"
"G650667","0.39","1.5 (1-2.2)","3.8","0.05"
"G7464","0.14","1.1 (0.62-2.1)","0.19","0.66"
"G169436","-0.13","0.88 (0.47-1.6)","0.16","0.69"
"G285782","0.42","1.5 (0.66-3.5)","0.97","0.32"
"G644056","-0.11","0.89 (0.43-1.9)","0.09","0.77"
"G129563","0.13","1.1 (0.72-1.8)","0.3","0.58"
"G83850","-0.28","0.75 (0.59-0.97)","4.9","0.027"
"G157807","0.48","1.6 (0.57-4.6)","0.8","0.37"
"G10973","0.086","1.1 (0.56-2.1)","0.06","0.8"
"G57210","-0.062","0.94 (0.64-1.4)","0.1","0.76"
"G25799","-0.11","0.9 (0.57-1.4)","0.21","0.65"
"G7026","-0.082","0.92 (0.56-1.5)","0.11","0.75"
"G27343","-0.0029","1 (0.61-1.6)","0","0.99"
"G1524","0.11","1.1 (0.77-1.6)","0.35","0.56"
"G2963","0.0025","1 (0.49-2.1)","0","0.99"
"G26248","0.33","1.4 (0.4-4.8)","0.27","0.6"
"G80021","-0.11","0.9 (0.59-1.4)","0.25","0.62"
"G81550","-0.098","0.91 (0.59-1.4)","0.2","0.65"
"G26128","-0.17","0.85 (0.39-1.8)","0.18","0.67"
"G4745","0.12","1.1 (0.96-1.3)","2.2","0.14"
"G9496","0.25","1.3 (0.76-2.2)","0.9","0.34"
"G57238","0.063","1.1 (0.79-1.4)","0.17","0.68"
"G957","-0.099","0.91 (0.62-1.3)","0.28","0.6"
"G389676","0.22","1.2 (0.66-2.3)","0.46","0.5"
"G285962","0.3","1.3 (0.89-2)","2","0.16"
"G642169","0.7","2 (0.92-4.5)","3","0.081"
"G27019","0.029","1 (0.84-1.3)","0.08","0.78"
"G401410","-0.21","0.81 (0.33-2)","0.2","0.65"
"G5435","-0.44","0.65 (0.3-1.4)","1.2","0.27"
"G23014","0.18","1.2 (0.64-2.2)","0.31","0.58"
"G641849","0.17","1.2 (0.94-1.5)","2.1","0.15"
"G8030","-0.58","0.56 (0.29-1.1)","2.9","0.087"
"G650594","-0.13","0.88 (0.38-2)","0.1","0.75"
"G7046","0.37","1.5 (0.93-2.3)","2.8","0.097"
"G283160","0.05","1.1 (0.53-2.1)","0.02","0.89"
"G400713","0.024","1 (0.48-2.2)","0","0.95"
"G643246","-0.19","0.82 (0.42-1.6)","0.32","0.57"
"G115106","0.3","1.3 (0.65-2.8)","0.65","0.42"
"G90273","0.56","1.7 (1.1-2.7)","6.1","0.014"
"G23603","0.17","1.2 (0.72-1.9)","0.43","0.51"
"G2350","0.0052","1 (0.77-1.3)","0","0.97"
"G3656","-0.16","0.85 (0.6-1.2)","0.84","0.36"
"G9618","0.53","1.7 (0.91-3.2)","2.8","0.097"
"G83594","0.64","1.9 (1.2-3.1)","6.5","0.011"
"G2796","-0.13","0.88 (0.6-1.3)","0.41","0.52"
"G114785","-0.056","0.95 (0.63-1.4)","0.07","0.79"
"G6695","-0.0046","1 (0.83-1.2)","0","0.96"
"G4194","0.0094","1 (0.71-1.4)","0","0.96"
"G65244","0.0059","1 (0.64-1.6)","0","0.98"
"G140730","-0.5","0.6 (0.32-1.1)","2.5","0.12"
"G646890","-0.066","0.94 (0.5-1.8)","0.04","0.84"
"G3486","0.31","1.4 (0.98-1.9)","3.4","0.063"
"G130749","0.35","1.4 (0.69-2.9)","0.91","0.34"
"G3703","-0.045","0.96 (0.67-1.4)","0.06","0.8"
"G4948","0.094","1.1 (0.74-1.6)","0.22","0.64"
"G348158","-0.96","0.38 (0.091-1.6)","1.7","0.19"
"G79142","0.26","1.3 (0.85-2)","1.4","0.24"
"G146206","-0.0077","0.99 (0.73-1.4)","0","0.96"
"G375387","-0.2","0.82 (0.63-1.1)","2.1","0.14"
"G3237","0.12","1.1 (0.83-1.5)","0.58","0.45"
"G79966","0.25","1.3 (0.68-2.5)","0.6","0.44"
"G7292","-0.041","0.96 (0.7-1.3)","0.06","0.8"
"G63904","-0.81","0.44 (0.16-1.3)","2.3","0.13"
"G10060","0.44","1.6 (0.7-3.5)","1.2","0.28"
"G1621","0.38","1.5 (0.92-2.3)","2.6","0.11"
"G4254","0.11","1.1 (0.78-1.6)","0.37","0.54"
"G440550","-0.62","0.54 (0.17-1.7)","1.1","0.3"
"G6391","0.085","1.1 (0.66-1.8)","0.11","0.74"
"G26136","0.027","1 (0.57-1.9)","0.01","0.93"
"G5425","-0.47","0.63 (0.31-1.3)","1.7","0.19"
"G26528","0.28","1.3 (0.42-4.2)","0.23","0.63"
"G23098","-0.21","0.81 (0.54-1.2)","1.1","0.3"
"G80314","-0.33","0.72 (0.46-1.1)","2.1","0.15"
"G4301","-0.15","0.86 (0.51-1.5)","0.31","0.57"
"G401039","0.11","1.1 (0.54-2.3)","0.08","0.77"
"G389791","0.041","1 (0.74-1.5)","0.05","0.82"
"G7813","-0.0061","0.99 (0.65-1.5)","0","0.98"
"G6703","0.09","1.1 (0.83-1.4)","0.4","0.53"
"G643985","-0.048","0.95 (0.7-1.3)","0.1","0.76"
"G144448","0.24","1.3 (0.57-2.8)","0.35","0.55"
"G85569","0.3","1.4 (0.48-3.8)","0.33","0.57"
"G85004","-0.085","0.92 (0.7-1.2)","0.38","0.54"
"G51714","0.017","1 (0.51-2)","0","0.96"
"G642980","-1","0.35 (0.12-1.1)","3.5","0.061"
"G283106","0.31","1.4 (0.79-2.4)","1.2","0.27"
"G84514","0.096","1.1 (0.64-1.9)","0.12","0.73"
"G10086","-0.68","0.51 (0.23-1.1)","2.7","0.1"
"G80746","-0.39","0.68 (0.36-1.3)","1.4","0.23"
"G401375","0.22","1.3 (0.62-2.5)","0.39","0.53"
"G90007","0.017","1 (0.64-1.6)","0","0.94"
"G9868","-0.32","0.73 (0.35-1.5)","0.74","0.39"
"G400966","-0.57","0.56 (0.37-0.85)","7.3","0.0069"
"G85290","0.12","1.1 (0.48-2.6)","0.07","0.79"
"G3008","-0.22","0.8 (0.57-1.1)","1.7","0.2"
"G253018","-0.072","0.93 (0.66-1.3)","0.17","0.68"
"G768329","-0.19","0.83 (0.32-2.2)","0.15","0.7"
"G2976","-0.32","0.73 (0.31-1.7)","0.51","0.47"
"G24147","0.13","1.1 (0.88-1.5)","0.97","0.32"
"G285322","-0.15","0.86 (0.4-1.8)","0.15","0.7"
"G645899","-0.28","0.76 (0.35-1.6)","0.53","0.47"
"G11020","0.038","1 (0.66-1.6)","0.03","0.87"
"G399978","-0.49","0.61 (0.27-1.4)","1.4","0.24"
"G1791","-0.67","0.51 (0.15-1.8)","1.1","0.29"
"G6230","-0.099","0.91 (0.61-1.4)","0.24","0.63"
"G2497","0.12","1.1 (0.75-1.7)","0.32","0.57"
"G996","0.034","1 (0.57-1.9)","0.01","0.91"
"G649963","0.00097","1 (0.46-2.2)","0","1"
"G599","0.37","1.4 (0.81-2.6)","1.5","0.21"
"G923","-0.14","0.87 (0.69-1.1)","1.6","0.21"
"G63893","-0.34","0.71 (0.46-1.1)","2.2","0.13"
"G652667","0.24","1.3 (0.69-2.4)","0.59","0.44"
"G79005","-0.21","0.81 (0.46-1.4)","0.52","0.47"
"G3572","-0.59","0.55 (0.34-0.89)","5.9","0.015"
"G164091","0.051","1.1 (0.69-1.6)","0.06","0.81"
"G203259","0.11","1.1 (0.69-1.8)","0.2","0.66"
"G645454","-1.2","0.3 (0.11-0.85)","5.2","0.023"
"G1133","0.085","1.1 (0.62-1.9)","0.09","0.77"
"G54346","-0.78","0.46 (0.19-1.1)","2.8","0.091"
"G6096","-0.076","0.93 (0.7-1.2)","0.28","0.6"
"G55884","0.3","1.4 (0.98-1.9)","3.3","0.07"
"G284254","-0.31","0.73 (0.38-1.4)","0.88","0.35"
"G9073","0.18","1.2 (0.94-1.5)","2.2","0.14"
"G27042","-0.24","0.78 (0.45-1.4)","0.73","0.39"
"G388080","0.88","2.4 (0.94-6.2)","3.3","0.068"
"G9533","-0.41","0.66 (0.27-1.6)","0.79","0.37"
"G391767","-0.35","0.7 (0.2-2.4)","0.31","0.58"
"G643615","-0.35","0.7 (0.25-2)","0.45","0.5"
"G645784","-0.14","0.87 (0.45-1.7)","0.17","0.68"
"G151246","-0.34","0.71 (0.39-1.3)","1.2","0.27"
"G81603","-0.22","0.8 (0.43-1.5)","0.49","0.49"
"G653103","-0.0079","0.99 (0.6-1.6)","0","0.98"
"G56102","0.21","1.2 (0.55-2.8)","0.25","0.61"
"G125488","-0.069","0.93 (0.64-1.4)","0.13","0.72"
"G1842","0.019","1 (0.75-1.4)","0.01","0.9"
"G50487","0.023","1 (0.84-1.3)","0.05","0.82"
"G122060","0.042","1 (0.73-1.5)","0.06","0.81"
"G57530","-0.079","0.92 (0.74-1.2)","0.48","0.49"
"G727","-0.2","0.82 (0.65-1)","2.7","0.098"
"G147945","-0.59","0.55 (0.22-1.4)","1.5","0.22"
"G255762","0.42","1.5 (0.76-3)","1.4","0.23"
"G163071","-0.051","0.95 (0.67-1.3)","0.08","0.77"
"G80184","-0.038","0.96 (0.64-1.5)","0.03","0.86"
"G5724","-0.016","0.98 (0.7-1.4)","0.01","0.93"
"G645897","1.3","3.6 (1.6-8.3)","9.3","0.0023"
"G9654","0.033","1 (0.71-1.5)","0.03","0.87"
"G23011","0.43","1.5 (0.84-2.8)","2","0.16"
"G645451","-0.93","0.4 (0.15-1.1)","3.3","0.069"
"G9595","-0.12","0.88 (0.54-1.5)","0.23","0.63"
"G57690","0.85","2.3 (0.8-6.9)","2.4","0.12"
"G646160","0.1","1.1 (0.46-2.7)","0.05","0.82"
"G112483","0.16","1.2 (0.69-2)","0.35","0.56"
"G26577","-0.028","0.97 (0.8-1.2)","0.08","0.78"
"G10622","-0.24","0.79 (0.29-2.1)","0.23","0.63"
"G23559","0.24","1.3 (0.64-2.5)","0.48","0.49"
"G643882","0.13","1.1 (0.79-1.7)","0.5","0.48"
"G646443","0.037","1 (0.41-2.6)","0.01","0.94"
"G162963","-0.12","0.89 (0.43-1.8)","0.11","0.74"
"G9407","0.31","1.4 (1-1.8)","4.9","0.027"
"G8632","-0.14","0.87 (0.58-1.3)","0.44","0.51"
"G10114","-0.18","0.84 (0.46-1.5)","0.34","0.56"
"G64478","-0.0068","0.99 (0.56-1.8)","0","0.98"
"G4636","-0.21","0.81 (0.51-1.3)","0.75","0.39"
"G220136","0.12","1.1 (0.82-1.6)","0.53","0.47"
"G153328","0.14","1.1 (0.54-2.4)","0.13","0.72"
"G137902","-0.33","0.72 (0.21-2.5)","0.27","0.6"
"G5252","-0.029","0.97 (0.56-1.7)","0.01","0.92"
"G653321","0.15","1.2 (0.72-1.9)","0.39","0.53"
"G649189","-0.016","0.98 (0.56-1.7)","0","0.96"
"G649812","0.58","1.8 (0.78-4.1)","1.9","0.17"
"G55165","-0.029","0.97 (0.74-1.3)","0.05","0.83"
"G5173","-0.079","0.92 (0.5-1.7)","0.06","0.8"
"G5739","-0.15","0.86 (0.53-1.4)","0.39","0.53"
"G3676","-0.12","0.89 (0.61-1.3)","0.4","0.52"
"G651952","0.17","1.2 (0.56-2.5)","0.19","0.66"
"G51693","-0.56","0.57 (0.25-1.3)","1.8","0.19"
"G4861","0.054","1.1 (0.76-1.5)","0.1","0.75"
"G219844","-0.29","0.75 (0.5-1.1)","1.8","0.18"
"G401271","0.26","1.3 (0.75-2.3)","0.87","0.35"
"G51631","-0.093","0.91 (0.58-1.4)","0.16","0.69"
"G84698","0.98","2.7 (0.99-7.2)","3.7","0.053"
"G650724","0.16","1.2 (0.58-2.4)","0.21","0.65"
"G23403","0.017","1 (0.64-1.6)","0.01","0.94"
"G652678","0.39","1.5 (0.7-3.1)","1.1","0.3"
"G9994","0.38","1.5 (0.64-3.3)","0.82","0.37"
"G7251","0.051","1.1 (0.51-2.2)","0.02","0.89"
"G200539","0.16","1.2 (0.6-2.3)","0.22","0.64"
"G83849","-0.012","0.99 (0.59-1.7)","0","0.96"
"G51202","0.066","1.1 (0.57-2)","0.04","0.84"
"G93474","0.21","1.2 (0.63-2.4)","0.39","0.53"
"G283464","0.2","1.2 (0.71-2.1)","0.51","0.48"
"G83448","-0.022","0.98 (0.7-1.4)","0.02","0.89"
"G648568","-0.18","0.83 (0.34-2.1)","0.15","0.7"
"G54941","-0.3","0.74 (0.48-1.2)","1.7","0.19"
"G5696","0.34","1.4 (0.8-2.5)","1.4","0.23"
"G84102","-0.24","0.78 (0.55-1.1)","1.9","0.17"
"G27429","0.035","1 (0.62-1.7)","0.02","0.89"
"G122953","0.084","1.1 (0.73-1.6)","0.17","0.68"
"G2138","0.2","1.2 (0.72-2.1)","0.55","0.46"
"G84529","0.13","1.1 (0.75-1.7)","0.38","0.54"
"G23045","0.25","1.3 (0.69-2.4)","0.62","0.43"
"G134","-0.71","0.49 (0.25-0.97)","4.1","0.042"
"G642711","-0.62","0.54 (0.14-2)","0.84","0.36"
"G55677","0.18","1.2 (0.49-2.9)","0.16","0.69"
"G901","0.19","1.2 (0.84-1.7)","1","0.32"
"G1241","0.024","1 (0.78-1.4)","0.03","0.86"
"G285622","0.12","1.1 (0.5-2.5)","0.08","0.77"
"G482","0.24","1.3 (0.76-2.1)","0.82","0.37"
"G650791","-0.13","0.88 (0.34-2.3)","0.07","0.79"
"G127665","-0.21","0.81 (0.33-2)","0.21","0.64"
"G115704","0.56","1.8 (0.91-3.4)","2.8","0.093"
"G164045","0.048","1 (0.5-2.2)","0.02","0.9"
"G649686","0.27","1.3 (0.62-2.7)","0.5","0.48"
"G10212","0.028","1 (0.67-1.6)","0.02","0.9"
"G155038","0.041","1 (0.74-1.5)","0.06","0.81"
"G652563","-0.45","0.63 (0.27-1.5)","1.1","0.3"
"G4645","0.77","2.1 (1.2-3.9)","6.5","0.011"
"G401884","-0.6","0.55 (0.28-1.1)","2.9","0.089"
"G643130","1","2.7 (1.1-6.9)","4.5","0.035"
"G3563","0.034","1 (0.7-1.5)","0.03","0.86"
"G284021","-0.18","0.84 (0.6-1.2)","1.1","0.29"
"G414062","-0.044","0.96 (0.73-1.3)","0.1","0.75"
"G169792","-0.12","0.89 (0.45-1.8)","0.11","0.74"
"G128322","-0.48","0.62 (0.28-1.4)","1.4","0.24"
"G9187","-0.047","0.95 (0.65-1.4)","0.06","0.81"
"G652797","0.4","1.5 (0.65-3.5)","0.89","0.34"
"G4500","0.13","1.1 (0.55-2.4)","0.12","0.73"
"G389901","0.31","1.4 (0.84-2.2)","1.6","0.21"
"G256380","-0.36","0.7 (0.35-1.4)","0.99","0.32"
"G55344","-0.09","0.91 (0.69-1.2)","0.41","0.52"
"G25829","0.048","1 (0.65-1.7)","0.04","0.84"
"G441212","0.0058","1 (0.44-2.3)","0","0.99"
"G643787","0.043","1 (0.73-1.5)","0.06","0.81"
"G347119","0.31","1.4 (0.54-3.5)","0.43","0.51"
"G651513","0.15","1.2 (0.43-3.1)","0.09","0.77"
"G129080","-0.14","0.87 (0.63-1.2)","0.76","0.38"
"G650780","-0.38","0.68 (0.43-1.1)","2.5","0.11"
"G388732","0.42","1.5 (0.72-3.2)","1.2","0.27"
"G10103","0.29","1.3 (1.1-1.7)","6","0.014"
"G1025","0.19","1.2 (0.67-2.2)","0.41","0.52"
"G441058","0.18","1.2 (0.45-3.2)","0.13","0.72"
"G646600","0.39","1.5 (0.43-5.1)","0.38","0.54"
"G7038","-0.28","0.76 (0.38-1.5)","0.62","0.43"
"G317772","-0.56","0.57 (0.32-1)","3.8","0.051"
"G653194","-0.031","0.97 (0.49-1.9)","0.01","0.93"
"G56125","0.13","1.1 (0.27-4.8)","0.03","0.85"
"G6992","-0.31","0.73 (0.34-1.6)","0.62","0.43"
"G3748","0.26","1.3 (0.45-3.7)","0.23","0.63"
"G945","-0.086","0.92 (0.72-1.2)","0.47","0.49"
"G7913","0.12","1.1 (0.72-1.8)","0.29","0.59"
"G644008","0.17","1.2 (0.59-2.4)","0.22","0.64"
"G654","0.029","1 (0.83-1.3)","0.07","0.8"
"G91409","0.015","1 (0.53-1.9)","0","0.96"
"G1122","-0.11","0.89 (0.55-1.5)","0.2","0.65"
"G654203","0.15","1.2 (0.59-2.3)","0.18","0.67"
"G647071","-0.65","0.52 (0.21-1.3)","2","0.16"
"G229","0.19","1.2 (0.94-1.6)","2.2","0.13"
"G653417","0.0078","1 (0.56-1.8)","0","0.98"
"G221017","0.11","1.1 (0.29-4.3)","0.03","0.87"
"G10184","-0.069","0.93 (0.61-1.4)","0.1","0.75"
"G50944","0.62","1.9 (0.74-4.7)","1.7","0.19"
"G192668","-1.1","0.33 (0.09-1.2)","2.8","0.095"
"G401562","-0.5","0.6 (0.39-0.94)","5.1","0.024"
"G7639","-0.21","0.81 (0.29-2.2)","0.17","0.68"
"G131375","1.4","4 (1.2-13)","5.3","0.021"
"G441430","-0.017","0.98 (0.7-1.4)","0.01","0.92"
"G375616","0.042","1 (0.39-2.8)","0.01","0.93"
"G390535","0.56","1.8 (0.45-6.8)","0.66","0.42"
"G6605","0.14","1.1 (0.56-2.4)","0.14","0.7"
"G653104","0.88","2.4 (1.1-5.3)","4.9","0.027"
"G10849","0.21","1.2 (0.78-2)","0.81","0.37"
"G4843","-0.088","0.92 (0.39-2.1)","0.04","0.84"
"G55735","-0.16","0.85 (0.52-1.4)","0.42","0.52"
"G151112","0.038","1 (0.42-2.5)","0.01","0.93"
"G644254","0.036","1 (0.59-1.8)","0.02","0.9"
"G344805","-0.075","0.93 (0.51-1.7)","0.06","0.8"
"G51477","-0.066","0.94 (0.63-1.4)","0.11","0.74"
"G2804","0.17","1.2 (0.78-1.8)","0.61","0.43"
"G57116","-0.04","0.96 (0.68-1.4)","0.05","0.82"
"G648320","-0.27","0.77 (0.37-1.6)","0.51","0.48"
"G2837","-0.23","0.79 (0.32-2)","0.26","0.61"
"G155435","-0.039","0.96 (0.67-1.4)","0.05","0.83"
"G5047","0.0072","1 (0.88-1.2)","0.01","0.92"
"G644512","-0.2","0.82 (0.27-2.5)","0.12","0.73"
"G26003","-0.062","0.94 (0.38-2.4)","0.02","0.9"
"G81341","-0.12","0.89 (0.29-2.8)","0.04","0.84"
"G192111","-0.046","0.96 (0.5-1.8)","0.02","0.89"
"G54758","-0.19","0.83 (0.52-1.3)","0.63","0.43"
"G643116","-0.72","0.49 (0.19-1.2)","2.3","0.13"
"G79603","0.11","1.1 (0.82-1.5)","0.5","0.48"
"G645701","0.6","1.8 (0.85-3.9)","2.4","0.13"
"G5923","-0.34","0.71 (0.37-1.4)","0.97","0.33"
"G66035","-0.32","0.72 (0.29-1.8)","0.49","0.49"
"G5050","0.0021","1 (0.72-1.4)","0","0.99"
"G27091","0.53","1.7 (0.44-6.5)","0.59","0.44"
"G5189","-0.056","0.95 (0.64-1.4)","0.08","0.78"
"G54960","0.036","1 (0.65-1.7)","0.02","0.88"
"G57565","-0.45","0.64 (0.22-1.8)","0.68","0.41"
"G154810","0.2","1.2 (0.67-2.3)","0.42","0.52"
"G25821","-0.38","0.69 (0.25-1.9)","0.53","0.47"
"G344658","0.28","1.3 (0.75-2.3)","0.91","0.34"
"G653750","-0.15","0.86 (0.36-2)","0.12","0.73"
"G339855","0.14","1.2 (0.73-1.8)","0.36","0.55"
"G6736","-0.67","0.51 (0.19-1.4)","1.7","0.19"
"G83546","-0.23","0.79 (0.29-2.2)","0.2","0.65"
"G140706","0.33","1.4 (0.97-2)","3.3","0.069"
"G353238","0.16","1.2 (0.56-2.4)","0.18","0.67"
"G642111","0.087","1.1 (0.55-2.2)","0.06","0.8"
"G401541","0.21","1.2 (0.89-1.7)","1.6","0.2"
"G26045","0.12","1.1 (0.49-2.6)","0.08","0.78"
"G650556","-0.33","0.72 (0.29-1.8)","0.52","0.47"
"G653254","1","2.8 (1.2-6.7)","5.2","0.022"
"G148206","0.36","1.4 (0.7-2.9)","0.95","0.33"
"G339453","-0.16","0.85 (0.46-1.6)","0.25","0.62"
"G652048","-0.39","0.67 (0.29-1.6)","0.86","0.35"
"G1386","0.28","1.3 (0.76-2.3)","0.98","0.32"
"G253573","-0.42","0.66 (0.31-1.4)","1.2","0.28"
"G5602","0.31","1.4 (0.75-2.5)","1","0.31"
"G11040","-0.19","0.83 (0.62-1.1)","1.6","0.21"
"G84142","-0.23","0.79 (0.37-1.7)","0.35","0.55"
"G163859","-0.014","0.99 (0.61-1.6)","0","0.95"
"G652800","0.5","1.7 (0.77-3.5)","1.7","0.19"
"G4586","0.077","1.1 (0.96-1.2)","1.6","0.21"
"G651848","-0.53","0.59 (0.24-1.4)","1.4","0.24"
"G9547","0.026","1 (0.87-1.2)","0.1","0.75"
"G54329","0.17","1.2 (0.45-3.1)","0.12","0.73"
"G26534","-0.37","0.69 (0.28-1.7)","0.63","0.43"
"G1515","0.082","1.1 (0.87-1.4)","0.52","0.47"
"G4154","-0.16","0.85 (0.38-1.9)","0.16","0.69"
"G200010","-0.042","0.96 (0.5-1.8)","0.02","0.9"
"G400304","-0.1","0.9 (0.5-1.6)","0.11","0.74"
"G7827","0.043","1 (0.62-1.7)","0.03","0.87"
"G92979","-0.14","0.87 (0.52-1.5)","0.3","0.59"
"G9973","-0.36","0.7 (0.31-1.6)","0.7","0.4"
"G9651","0.13","1.1 (0.72-1.8)","0.3","0.58"
"G646348","0.072","1.1 (0.55-2.1)","0.04","0.84"
"G8187","-0.19","0.83 (0.6-1.1)","1.2","0.26"
"G170958","-0.079","0.92 (0.65-1.3)","0.2","0.66"
"G646568","-0.029","0.97 (0.46-2.1)","0.01","0.94"
"G5436","-0.065","0.94 (0.51-1.7)","0.04","0.84"
"G6886","0.14","1.2 (0.62-2.1)","0.21","0.65"
"G55303","-0.041","0.96 (0.71-1.3)","0.07","0.79"
"G51602","0.38","1.5 (0.87-2.5)","2","0.15"
"G147007","0.28","1.3 (0.81-2.2)","1.3","0.26"
"G642220","0.41","1.5 (0.62-3.7)","0.8","0.37"
"G54957","0.58","1.8 (1.1-2.9)","5.6","0.018"
"G79442","0.59","1.8 (0.9-3.6)","2.8","0.095"
"G8854","-0.029","0.97 (0.77-1.2)","0.06","0.8"
"G645392","-1.2","0.29 (0.078-1.1)","3.5","0.062"
"G161497","0.037","1 (0.65-1.7)","0.02","0.88"
"G441328","-0.67","0.51 (0.2-1.3)","2","0.16"
"G85391","0.43","1.5 (0.82-2.9)","1.8","0.18"
"G5885","-0.18","0.83 (0.51-1.4)","0.52","0.47"
"G4953","0.016","1 (0.74-1.4)","0.01","0.92"
"G135935","-0.5","0.61 (0.2-1.8)","0.77","0.38"
"G84957","0.42","1.5 (0.32-7.3)","0.28","0.59"
"G2962","-0.28","0.75 (0.37-1.5)","0.62","0.43"
"G79921","-0.57","0.57 (0.24-1.3)","1.7","0.2"
"G642214","0.057","1.1 (0.35-3.2)","0.01","0.92"
"G254956","-0.019","0.98 (0.77-1.2)","0.03","0.87"
"G84311","0.076","1.1 (0.76-1.5)","0.18","0.67"
"G5691","-0.18","0.84 (0.48-1.5)","0.39","0.53"
"G207","-0.18","0.84 (0.35-2)","0.16","0.69"
"G132724","-0.12","0.89 (0.38-2.1)","0.08","0.78"
"G11074","0.29","1.3 (1-1.7)","5.4","0.021"
"G389421","-0.096","0.91 (0.69-1.2)","0.45","0.5"
"G79174","0.061","1.1 (0.62-1.8)","0.05","0.83"
"G89866","-0.14","0.87 (0.34-2.2)","0.08","0.78"
"G11330","0.83","2.3 (1.3-4.2)","7.4","0.0064"
"G652258","-1.1","0.34 (0.11-1.1)","3.3","0.07"
"G647592","-0.44","0.64 (0.31-1.3)","1.4","0.24"
"G388125","0.23","1.3 (0.88-1.8)","1.6","0.21"
"G649891","-0.23","0.79 (0.32-2)","0.25","0.62"
"G3751","0.13","1.1 (0.87-1.5)","0.88","0.35"
"G644914","0.67","2 (1.1-3.6)","4.7","0.031"
"G57282","0.69","2 (0.87-4.6)","2.6","0.1"
"G643240","-0.38","0.68 (0.37-1.3)","1.5","0.23"
"G652341","0.22","1.2 (0.4-3.9)","0.14","0.7"
"G652427","-0.35","0.7 (0.41-1.2)","1.7","0.2"
"G442184","-0.56","0.57 (0.25-1.3)","1.7","0.19"
"G51114","-0.18","0.83 (0.45-1.6)","0.34","0.56"
"G439986","0.48","1.6 (0.78-3.3)","1.7","0.2"
"G222865","-0.23","0.79 (0.62-1)","3.4","0.065"
"G374920","-0.55","0.58 (0.32-1)","3.4","0.066"
"G388564","-0.013","0.99 (0.67-1.5)","0","0.95"
"G23368","-0.16","0.85 (0.63-1.2)","1","0.31"
"G80199","0.41","1.5 (1-2.3)","4.1","0.043"
"G794","0.11","1.1 (0.81-1.5)","0.46","0.5"
"G154043","-0.035","0.97 (0.67-1.4)","0.03","0.85"
"G337974","0.77","2.2 (1-4.7)","3.8","0.051"
"G652190","0.22","1.2 (0.61-2.5)","0.36","0.55"
"G338440","-0.14","0.87 (0.59-1.3)","0.47","0.49"
"G22808","0.0058","1 (0.71-1.4)","0","0.97"
"G10766","0.14","1.1 (0.68-1.9)","0.26","0.61"
"G646155","0.34","1.4 (0.52-3.8)","0.46","0.5"
"G11245","0.021","1 (0.58-1.8)","0","0.94"
"G387873","-0.16","0.85 (0.35-2.1)","0.13","0.72"
"G146456","0.011","1 (0.87-1.2)","0.02","0.88"
"G79727","-0.3","0.74 (0.39-1.4)","0.85","0.36"
"G143630","-0.096","0.91 (0.7-1.2)","0.54","0.46"
"G11212","-0.18","0.84 (0.47-1.5)","0.36","0.55"
"G6283","0.15","1.2 (0.75-1.8)","0.45","0.5"
"G29090","0.11","1.1 (0.66-1.9)","0.18","0.67"
"G10592","0.4","1.5 (0.92-2.4)","2.6","0.11"
"G84928","-0.31","0.73 (0.45-1.2)","1.6","0.21"
"G389124","-0.082","0.92 (0.47-1.8)","0.06","0.81"
"G650024","-0.31","0.73 (0.36-1.5)","0.74","0.39"
"G400207","0.65","1.9 (0.87-4.2)","2.6","0.11"
"G83734","-0.31","0.73 (0.41-1.3)","1.1","0.29"
"G79170","-0.011","0.99 (0.74-1.3)","0.01","0.94"
"G649583","-0.2","0.82 (0.4-1.7)","0.31","0.58"
"G57234","0.11","1.1 (0.45-2.8)","0.06","0.81"
"G83697","0.077","1.1 (0.41-2.8)","0.02","0.88"
"G92241","0.058","1.1 (0.53-2.1)","0.03","0.87"
"G25996","0.067","1.1 (0.62-1.8)","0.06","0.81"
"G55707","-0.15","0.86 (0.44-1.7)","0.21","0.65"
"G47","0.06","1.1 (0.64-1.8)","0.05","0.82"
"G3938","-0.2","0.82 (0.47-1.4)","0.5","0.48"
"G90993","-0.11","0.89 (0.46-1.7)","0.12","0.73"
"G83698","-0.063","0.94 (0.31-2.8)","0.01","0.91"
"G81607","-0.02","0.98 (0.79-1.2)","0.03","0.86"
"G203076","0.75","2.1 (0.64-6.9)","1.5","0.22"
"G196993","0.017","1 (0.48-2.2)","0","0.97"
"G645863","0.18","1.2 (0.87-1.6)","1.2","0.27"
"G3115","-0.12","0.88 (0.69-1.1)","0.95","0.33"
